,Kasus baru,Total kasus,Kasus aktif,% kasus aktif,SembuhBaru,Sembuh,Tingkat kesembuhan (seluruh kasus),Tingkat kesembuhan (closed cases),MeninggalBaru,Meninggal,Tingkat kematian (seluruh kasus),Tingkat kematian (closed cases),Suspek aktif,Jumlah spesimen diperiksa (dari 1 April),Jumlah orang diperiksa,Negatif,Spesimen,Orang yang dites,Jumlah test/juta penduduk,Test/Positif,Jumlah org yg dites / positif,Jumlah Test/Positif harian,Positif / Jumlah Tes,Positive rate harian,Case Growth Rate,Positive rate mingguan,Jumlah spesimen diperiksa (rata-rata 7 hari),Jumlah orang diperiksa (rata-rata 7 hari),Rasio spesimen/orang diperiksa (rata-rata 7 hari),Test PCR Orang Nasional Rata-rata 7 hari,Pos Rate Nasional - rata-rata 7 hari,Test Orang DKI,Positif DKI,,Pos Rate DKI,Pos Rate DKI - 7 harian,NON DKI,Positif Non DKI,,Pos Rate Non DKI,Pos Rate Non DKI - 7 harian
28-Mar,109,1155,994,86.06%,13,59,5.11%,36.65%,15,102,8.83%,63.35%,,"6,266",6266,"5,111",,491,23,5.43,5.43,4.5,18.43%,22.20%,10.42%,18.27%,,,,,,,,,,,,,,,
29-Mar,130,1285,"1,107",86.15%,5,64,4.98%,35.96%,12,114,8.87%,64.04%,,"6,534",6534,"5,249",,268,24,5.08,5.08,2.06,19.67%,48.51%,11.26%,18.92%,,,,,,,,,,,,,,,
30-Mar,129,1414,"1,217",86.07%,11,75,5.30%,38.07%,8,122,8.63%,61.93%,,"6,663",6663,"5,249",,129,25,4.71,4.71,1,21.22%,100.00%,10.04%,21.49%,,,,,,,,,,,,,,,
31-Mar,114,1528,"1,311",85.80%,6,81,5.30%,37.33%,14,136,8.90%,62.67%,,"6,777",6777,"5,249",,114,25,4.44,4.44,1,22.55%,100.00%,8.06%,24.47%,,,,,,,,,,,,,,,
01-Apr,149,1677,"1,417",84.50%,22,103,6.14%,39.62%,21,157,9.36%,60.38%,,"7,193",7193,"5,516",,416,27,4.29,4.29,2.79,23.31%,35.82%,9.75%,26.31%,,,,,,,,,,,,,,,
02-Apr,113,1790,"1,508",84.25%,9,112,6.26%,39.72%,13,170,9.50%,60.28%,,"7,425",7425,"5,635",,232,28,4.15,4.15,2.05,24.11%,48.71%,6.74%,29.04%,,,,,,,,,,,,,,,
03-Apr,196,1986,"1,671",84.14%,22,134,6.75%,42.54%,11,181,9.11%,57.46%,,"7,986",7986,"5,715",,561,30,4.02,4.02,2.86,24.87%,71.01%,10.95%,42.51%,,,,,,,,,,,,,,,
04-Apr,106,2092,"1,751",83.70%,16,150,7.17%,43.99%,10,191,9.13%,56.01%,,"9,712",9712,"7,620",,1726,36,4.64,4.64,16.28,21.54%,5.27%,5.34%,27.19%,,,,,,,,,,,,,,,
05-Apr,181,2273,"1,911",84.07%,14,164,7.22%,45.30%,7,198,8.71%,54.70%,,"11,242",11242,"8,969",,1530,42,4.95,4.95,8.45,20.22%,11.83%,8.65%,20.99%,,,,,,,,,,,,,,,
06-Apr,218,2491,"2,090",83.90%,28,192,7.71%,47.88%,11,209,8.39%,52.12%,,"13,186",13186,"10,695",,1944,49,5.29,5.29,8.92,18.89%,11.21%,9.59%,16.51%,,,,,,,,,,,,,,,
07-Apr,247,2738,"2,313",84.48%,12,204,7.45%,48.00%,12,221,8.07%,52.00%,,"14,353",14353,"11,615",,1167,53,5.24,5.24,4.72,19.08%,21.17%,9.92%,15.97%,,,,,,,,,,,,,,,
08-Apr,218,2956,"2,494",84.37%,18,222,7.51%,48.05%,19,240,8.12%,51.95%,,"16,511",16511,"13,555",,2158,61,5.59,5.59,9.9,17.90%,10.10%,7.96%,13.73%,,,,,,,,,,,,,,,
09-Apr,337,3293,"2,761",83.84%,30,252,7.65%,47.37%,40,280,8.50%,52.63%,,"17,679",17679,"14,386",,1168,65,5.37,5.37,3.47,18.63%,28.85%,11.40%,14.66%,,,,,,,,,,,,,,,
10-Apr,219,3512,"2,924",83.26%,30,282,8.03%,47.96%,26,306,8.71%,52.04%,,"19,452",19452,"15,940",,1773,72,5.54,5.54,8.1,18.05%,12.35%,6.65%,13.31%,,,,,,,,,,,,,,,
11-Apr,330,3842,"3,229",84.04%,4,286,7.44%,46.66%,21,327,8.51%,53.34%,,"19,964",19964,"16,122",,512,74,5.2,5.2,1.55,19.24%,64.45%,9.40%,17.07%,,,,,,,,,,,,,,,
12-Apr,399,4241,"3,509",82.74%,73,359,8.46%,49.04%,46,373,8.80%,50.96%,,"27,075",27075,"22,834",,7111,100,6.38,6.38,17.82,15.66%,5.61%,10.39%,12.43%,,,,,,,,,,,,,,,
13-Apr,316,4557,"3,778",82.91%,21,380,8.34%,48.78%,26,399,8.76%,51.22%,,"27,953",27953,"23,396",,878,104,6.13,6.13,2.78,16.30%,35.99%,7.45%,13.99%,,,,,,,,,,,,,,,
14-Apr,282,4839,"3,954",81.71%,46,426,8.80%,48.14%,60,459,9.49%,51.86%,,"31,628",31628,"26,789",,3675,117,6.54,6.54,13.03,15.30%,7.67%,6.19%,12.16%,,,,,,,,,,,,,,,
15-Apr,297,5136,"4,221",82.18%,20,446,8.68%,48.74%,10,469,9.13%,51.26%,,"36,431",33001,"27,865",,1373,122,7.09,6.43,4.62,15.56%,21.63%,6.14%,13.22%,,,,,,,,,,,,,,,
16-Apr,380,5516,"4,472",81.07%,102,548,9.93%,52.49%,27,496,8.99%,47.51%,,"39,706",34975,"29,459","3,275",1974,130,7.2,6.34,5.19,15.77%,19.25%,7.40%,12.85%,,,,,,,,,,,,,,,
17-Apr,407,5923,"4,796",80.97%,59,607,10.25%,53.86%,24,520,8.78%,46.14%,,"42,108",37134,"31,211","2,402",2159,138,7.11,6.27,5.3,15.95%,18.85%,7.38%,13.64%,,,,,,,,,,,,,,,
18-Apr,325,6248,"5,082",81.34%,24,631,10.10%,54.12%,15,535,8.56%,45.88%,,"45,378",39422,"33,174","3,270",2288,146,7.26,6.31,7.04,15.85%,14.20%,5.49%,12.37%,,,,,,,,,,,,,,,
19-Apr,327,6575,"5,307",80.71%,55,686,10.43%,54.10%,47,582,8.85%,45.90%,,"47,478",42219,"35,644","2,100",2797,156,7.22,6.42,8.55,15.57%,11.69%,5.23%,15.41%,,,,,,,,,,,,,,,
20-Apr,185,6760,"5,423",80.22%,61,747,11.05%,55.87%,8,590,8.73%,44.13%,,"49,767",43749,"36,989","2,289",1530,162,7.36,6.47,8.27,15.45%,12.09%,2.81%,13.95%,,,,,,,,,,,,,,,
21-Apr,375,7135,"5,677",79.57%,95,842,11.80%,57.75%,26,616,8.63%,42.25%,,"50,370",46173,"39,038",603,2424,171,7.06,6.47,6.46,15.45%,15.47%,5.55%,15.79%,,,,,,,,,,,,,,,
22-Apr,283,7418,"5,869",79.12%,71,913,12.31%,58.94%,20,636,8.57%,41.06%,,"55,732",47361,"39,943","5,362",1188,175,7.51,6.38,4.2,15.66%,23.82%,3.97%,15.89%,"2,757",2051,1.34,,,,,,,,,,,,
23-Apr,357,7775,"6,168",79.33%,47,960,12.35%,59.74%,11,647,8.32%,40.26%,,"59,935",48647,"40,872","4,203",1286,180,7.71,6.26,3.6,15.98%,27.76%,4.81%,16.52%,"2,890",1953,1.48,,,,,,,,,,,,
24-Apr,436,8211,"6,520",79.41%,42,"1,002",12.20%,59.25%,42,689,8.39%,40.75%,,"64,054",50563,"42,352","4,119",1916,187,7.8,6.16,4.39,16.24%,22.76%,5.61%,17.04%,"3,135",1918,1.63,,,,,,,,,,,,
25-Apr,396,8607,"6,845",79.53%,40,"1,042",12.11%,59.14%,31,720,8.37%,40.86%,,"67,828",52541,"43,934","3,774",1978,195,7.88,6.1,4.99,16.38%,20.02%,4.82%,17.98%,"3,207",1874,1.71,,,,,,,,,,,,
26-Apr,275,8882,"7,032",79.17%,65,"1,107",12.46%,59.84%,23,743,8.37%,40.16%,,"72,099",56974,"48,092","4,271",4433,211,8.12,6.41,16.12,15.59%,6.20%,3.20%,15.64%,"3,517",2108,1.67,,,,,,,,,,,,
