,Kasus baru,Total kasus,Kasus aktif,% kasus aktif,SembuhBaru,Sembuh,Tingkat kesembuhan (seluruh kasus),Tingkat kesembuhan (closed cases),MeninggalBaru,Meninggal,Tingkat kematian (seluruh kasus),Tingkat kematian (closed cases),Suspek aktif,Jumlah spesimen diperiksa (dari 1 April),Jumlah orang diperiksa,Negatif,Spesimen,Orang yang dites,Jumlah test/juta penduduk,Test/Positif,Jumlah org yg dites / positif,Jumlah Test/Positif harian,Positif / Jumlah Tes,Positive rate harian,Case Growth Rate,Positive rate mingguan,Jumlah spesimen diperiksa (rata-rata 7 hari),Jumlah orang diperiksa (rata-rata 7 hari),Rasio spesimen/orang diperiksa (rata-rata 7 hari),Test PCR Orang Nasional Rata-rata 7 hari,Pos Rate Nasional - rata-rata 7 hari,Test Orang DKI,Positif DKI,,Pos Rate DKI,Pos Rate DKI - 7 harian,NON DKI,Positif Non DKI,,Pos Rate Non DKI,Pos Rate Non DKI - 7 harian
02-Mar,2,2,2,100.00%,0,0,0.00%,0,0,0,0.00%,,,339,339,335,,,,169.5,169.5,0,0.59%,,,,,,,,,,,,,,,,,,
03-Mar,0,2,2,100.00%,0,0,0.00%,,0,0,0.00%,,,341,341,337,,2,,170.5,170.5,#DIV/0!,0.59%,0.00%,0.00%,,,,,,,,,,,,,,,,
04-Mar,0,2,2,100.00%,0,0,0.00%,,0,0,0.00%,,,372,372,356,,31,,186,186,#DIV/0!,0.54%,0.00%,0.00%,,,,,,,,,,,,,,,,
05-Mar,0,2,2,100.00%,0,0,0.00%,,0,0,0.00%,,,388,388,371,,16,,194,194,#DIV/0!,0.52%,0.00%,0.00%,,,,,,,,,,,,,,,,
06-Mar,2,4,4,100.00%,0,0,0.00%,,0,0,0.00%,,,450,450,422,,62,,112.5,112.5,31,0.89%,3.77%,100.00%,,,,,,,,,,,,,,,,
07-Mar,0,4,4,100.00%,0,0,0.00%,,0,0,0.00%,,,454,454,422,,4,,113.5,113.5,#DIV/0!,0.88%,0.00%,0.00%,,,,,,,,,,,,,,,,
08-Mar,2,6,6,100.00%,0,0,0.00%,,0,0,0.00%,,,483,483,445,,29,,80.5,80.5,14.5,1.24%,8.00%,50.00%,,,,,,,,,,,,,,,,
09-Mar,13,19,19,100.00%,0,0,0.00%,,0,0,0.00%,,,543,543,487,,60,,28.58,28.58,4.62,3.50%,23.64%,216.67%,,,,,,,,,,,,,,,,
10-Mar,8,27,27,100.00%,0,0,0.00%,,0,0,0.00%,,,694,694,648,,151,,25.7,25.7,18.88,3.89%,4.73%,42.11%,,,,,,,,,,,,,,,,
12-Mar,0,34,27,79.41%,1,3,8.82%,42.86%,2,4,11.76%,57.14%,,862,862,811,,168,,25.35,25.35,#DIV/0!,3.94%,#REF!,#REF!,,,,,,,,,,,,,,,,
13-Mar,35,69,60,86.96%,2,5,7.25%,55.56%,0,4,5.80%,44.44%,,"1,005",1005,917,,143,4,14.57,14.57,4.09,6.87%,24.82%,102.94%,9.72%,,,,,,,,,,,,,,,
14-Mar,27,96,83,86.46%,3,8,8.33%,61.54%,1,5,5.21%,38.46%,,"1,205",1205,"1,109",,200,4,12.55,12.55,7.41,7.97%,12.33%,39.13%,11.26%,,,,,,,,,,,,,,,
15-Mar,21,117,104,88.89%,0,8,6.84%,61.54%,0,5,4.27%,38.46%,,"1,293",1293,"1,167",,88,5,11.05,11.05,4.19,9.05%,26.58%,21.88%,12.63%,,,,,,,,,,,,,,,
16-Mar,17,134,121,90.30%,0,8,5.97%,61.54%,0,5,3.73%,38.46%,,"1,230",1230,"1,083",,,5,9.18,9.18,0,10.89%,,14.53%,14.94%,,,,,,,,,,,,,,,
17-Mar,38,172,156,90.70%,1,9,5.23%,56.25%,2,7,4.07%,43.75%,,"1,372",1372,"1,178",,120,5,7.98,7.98,3.16,12.54%,28.57%,28.36%,16.78%,,,,,,,,,,,,,,,
18-Mar,55,227,197,86.78%,2,11,4.85%,36.67%,12,19,8.37%,63.33%,,"1,592",1592,"1,342",,197,6,7.01,7.01,3.58,14.26%,25.11%,31.98%,21.07%,,,,,,,,,,,,,,,
19-Mar,82,309,269,87.06%,4,15,4.85%,37.50%,6,25,8.09%,62.50%,,"1,898",1898,"1,570",,287,7,6.14,6.14,3.5,16.28%,26.45%,36.12%,26.57%,,,,,,,,,,,,,,,
20-Mar,60,369,321,86.99%,1,16,4.34%,33.33%,7,32,8.67%,66.67%,,"2,028",2028,"1,643",,112,8,5.5,5.5,1.87,18.20%,45.80%,19.42%,29.88%,,,,,,,,,,,,,,,
21-Mar,81,450,392,87.11%,4,20,4.44%,34.48%,6,38,8.44%,65.52%,,"2,365",2365,"1,895",,317,9,5.26,5.26,3.91,19.03%,24.18%,21.95%,31.58%,,,,,,,,,,,,,,,
22-Mar,64,514,437,85.02%,9,29,5.64%,37.66%,10,48,9.34%,62.34%,,"2,438",2438,"1,904",,53,9,4.74,4.74,0.83,21.08%,87.67%,14.22%,36.56%,,,,,,,,,,,,,,,
23-Mar,65,579,500,86.36%,1,30,5.18%,37.97%,1,49,8.46%,62.03%,,"2,756",2756,"2,177",,318,10,4.76,4.76,4.89,21.01%,19.23%,12.65%,31.70%,,,,,,,,,,,,,,,
24-Mar,106,685,600,87.59%,0,30,4.38%,35.29%,6,55,8.03%,64.71%,,"3,332",3332,"2,625",,554,12,4.86,4.86,5.23,20.56%,19.13%,18.31%,27.91%,,,,,,,,,,,,,,,
25-Mar,105,790,701,88.73%,1,31,3.92%,34.83%,3,58,7.34%,65.17%,,"3,822",3822,"3,032",,490,14,4.84,4.84,4.67,20.67%,20.51%,15.33%,26.42%,,,,,,,,,,,,,,,
26-Mar,103,893,780,87.35%,4,35,3.92%,30.97%,20,78,8.73%,69.03%,,"4,336",4336,"3,443",,514,16,4.86,4.86,4.99,20.60%,20.04%,13.04%,24.77%,,,,,,,,,,,,,,,
27-Mar,153,1046,913,87.28%,11,46,4.40%,34.59%,9,87,8.32%,65.41%,,"5,775",5775,"4,729",,1439,21,5.52,5.52,9.41,18.11%,10.63%,17.13%,18.37%,,,,,,,,,,,,,,,
